
#################################### NEW YORK ###################################
+--------------------------------------------------+--------------------+--------------------+
|antecedent                                        |consequent          |confidence          |
+--------------------------------------------------+--------------------+--------------------+
|[c_THEFT, sr_UNKNOWN, ss_U]                       |sa_UNKNOWN          |0.9995611199009424  |
|[l_STREET, sr_UNKNOWN, ss_U]                      |sa_UNKNOWN          |0.9988126177636281  |
|[sr_UNKNOWN, ss_U, vs_M]                          |sa_UNKNOWN          |0.9986568374543916  |
|[sr_UNKNOWN, ss_U, va_25-44]                      |sa_UNKNOWN          |0.9985856246127461  |
|[sr_UNKNOWN, ss_U]                                |sa_UNKNOWN          |0.9983902034766123  |
|[sr_UNKNOWN, ss_U, vs_F]                          |sa_UNKNOWN          |0.9981016126992315  |
|[c_THEFT, ss_U]                                   |sa_UNKNOWN          |0.9973461509657477  |
|[c_THEFT, sr_UNKNOWN]                             |sa_UNKNOWN          |0.9959594289326225  |
|[l_STREET, ss_U]                                  |sa_UNKNOWN          |0.9926440416895504  |
|[c_THEFT, sa_UNKNOWN, ss_U]                       |sr_UNKNOWN          |0.991910776893083   |
|[ss_U, vs_M]                                      |sa_UNKNOWN          |0.9918857839156968  |
|[ss_U, va_25-44]                                  |sa_UNKNOWN          |0.9913877730314046  |
|[BROOKLYN, ss_U]                                  |sa_UNKNOWN          |0.9911174163023297  |
|[ss_U]                                            |sa_UNKNOWN          |0.9909619759901416  |
|[ss_U, vs_F]                                      |sa_UNKNOWN          |0.9899584086100457  |
|[c_THEFT, ss_U]                                   |sr_UNKNOWN          |0.9897127606702024  |
|[l_STREET, sr_UNKNOWN]                            |sa_UNKNOWN          |0.98576685089511    |
|[sr_UNKNOWN, vs_M]                                |sa_UNKNOWN          |0.9822558235858504  |
|[sa_UNKNOWN, ss_U, vs_F]                          |sr_UNKNOWN          |0.9819479567326753  |
|[sa_UNKNOWN, ss_U, va_25-44]                      |sr_UNKNOWN          |0.9811065832210636  |
|[sa_UNKNOWN, ss_U]                                |sr_UNKNOWN          |0.9797303736287893  |
|[sa_UNKNOWN, ss_U, vs_M]                          |sr_UNKNOWN          |0.9776872441107575  |
|[l_STREET, sa_UNKNOWN, ss_U]                      |sr_UNKNOWN          |0.9776366310266704  |
|[BROOKLYN, sr_UNKNOWN]                            |sa_UNKNOWN          |0.9755025676847311  |
|[ss_U, va_25-44]                                  |sr_UNKNOWN          |0.9740347213822345  |
|[ss_U, vs_F]                                      |sr_UNKNOWN          |0.9739365453544204  |
|[c_THEFT, sa_UNKNOWN, sr_UNKNOWN]                 |ss_U                |0.9727754986182223  |
|[ss_U]                                            |sr_UNKNOWN          |0.9724409790960933  |
|[l_STREET, ss_U]                                  |sr_UNKNOWN          |0.9715988359247265  |
|[sr_UNKNOWN]                                      |sa_UNKNOWN          |0.9714214973328664  |
|[sr_UNKNOWN, vr_BLACK]                            |sa_UNKNOWN          |0.9713444911123461  |
|[ss_U, vs_M]                                      |sr_UNKNOWN          |0.9710583677783755  |
|[sr_UNKNOWN, va_25-44]                            |sa_UNKNOWN          |0.9710101182274873  |
