
###### NEW YORK #####
+-------------------------------------------------------+------------+------------------+------------------+
|antecedent                                             |consequent  |confidence        |lift              |
+-------------------------------------------------------+------------+------------------+------------------+
|[sr_UNKNOWN]                                           |[sa_UNKNOWN]|0.974749466298628 |1.3332071696711527|
|[sr_UNKNOWN]                                           |[ss_U]      |0.9042629553637436|1.7433658378367574|
|[sr_UNKNOWN]                                           |[vs_M]      |0.5108651079175305|1.1217511188223956|
|[va_25-44, ss_U, sr_UNKNOWN, sa_UNKNOWN]               |[vs_M]      |0.514276011598443 |1.129240737825455 |
|[MANHATTAN, sr_UNKNOWN]                                |[sa_UNKNOWN]|0.9789318851862724|1.3389276455886714|
|[MANHATTAN, sr_UNKNOWN]                                |[ss_U]      |0.9094753870304902|1.7534150997754034|
|[QUEENS, ss_U, sa_UNKNOWN]                             |[sr_UNKNOWN]|0.984235679779158 |1.7593828135985627|
|[MANHATTAN, ss_U, sa_UNKNOWN]                          |[sr_UNKNOWN]|0.9787904104738034|1.7496490542682708|
|[BRONX]                                                |[vs_F]      |0.5753744520649002|1.0566615805344204|
|[BRONX]                                                |[sr_UNKNOWN]|0.5236693684646394|0.9360917367793739|
|[BRONX]                                                |[sa_UNKNOWN]|0.6894972561599566|0.9430553359230245|
|[vr_WHITE]                                             |[vs_M]      |0.5043134687770322|1.107365112767034 |
|[vr_WHITE]                                             |[sr_UNKNOWN]|0.6538562377467761|1.168808905113068 |
|[vr_WHITE]                                             |[ss_U]      |0.6199171039140179|1.1951637461690165|
|[vr_WHITE]                                             |[sa_UNKNOWN]|0.8068908623931652|1.103619668518121 |
|[va_25-44, vs_M, sr_UNKNOWN]                           |[sa_UNKNOWN]|0.9859703794787076|1.3485544998510253|
|[va_25-44, vs_M, sr_UNKNOWN]                           |[ss_U]      |0.924734715332304 |1.782834188008446 |
|[MANHATTAN, sr_UNKNOWN, sa_UNKNOWN]                    |[ss_U]      |0.9279062869733287|1.788948791751104 |
|[va_25-44, vs_M, ss_U, sa_UNKNOWN]                     |[sr_UNKNOWN]|0.981611304460555 |1.7546915786364057|
|[INSIDE RESIDENCE - APT. HOUSE, ss_U, sa_UNKNOWN]      |[sr_UNKNOWN]|0.9860372171417063|1.762603174269123 |
|[vr_WHITE, vs_M]                                       |[sa_UNKNOWN]|0.8526560130333716|1.1662146522181798|
|[vr_WHITE, ss_U, sr_UNKNOWN]                           |[sa_UNKNOWN]|0.9993229008899605|1.3668173231652738|
|[QUEENS]                                               |[vs_F]      |0.5209453415389858|0.9567038056471403|
|[QUEENS]                                               |[sr_UNKNOWN]|0.5808912997983158|1.0383795166452456|
|[QUEENS]                                               |[ss_U]      |0.5397747581733966|1.0406540132428241|
|[QUEENS]                                               |[sa_UNKNOWN]|0.7385402062772131|1.010133508293236 |
|[va_25-44, vs_F, sa_UNKNOWN]                           |[sr_UNKNOWN]|0.7420132126108925|1.3263950093981394|
|[va_25-44, vs_F, sa_UNKNOWN]                           |[ss_U]      |0.7001918039326599|1.3499286503652737|
|[va_25-44, vs_M, sr_UNKNOWN, sa_UNKNOWN]               |[ss_U]      |0.9371028368062883|1.8066791993826936|
|[INSIDE RESIDENCE - APT. HOUSE, ss_U, sr_UNKNOWN]      |[sa_UNKNOWN]|0.9983429909705875|1.3654770578198607|
|[vs_M, ss_U, sa_UNKNOWN]                               |[sr_UNKNOWN]|0.9791935390896902|1.7503696718734159|
|[vr_WHITE, ss_U, sa_UNKNOWN]                           |[sr_UNKNOWN]|0.9865592634590039|1.7635363647004656|
|[va_25-44]                                             |[vs_F]      |0.562281811137703 |1.0326172549550474|
|[va_25-44]                                             |[sr_UNKNOWN]|0.5566512444997135|0.9950489022718582|
|[va_25-44]                                             |[ss_U]      |0.5182121210919828|0.9990825161042651|
|[va_25-44]                                             |[sa_UNKNOWN]|0.7140414843516325|0.9766255425561637|
|[va_45-64, ss_U, sr_UNKNOWN]                           |[sa_UNKNOWN]|0.9990137523354468|1.3663944872637204|
